;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
0;7717474;3079696.0;Aalius Rumph. ex Kuntze;Aalius;GENUS;SYNONYM;95;HIGHERRANK;Plantae;Tracheophyta;Malpighiales;Phyllanthaceae;Breynia;6;7707728.0;220.0;1414.0;8807.0;3079696.0;True;Magnoliopsida;;;
1;2857646;7227611.0;Allium parvifolium Crantz;Allium parvifolium;SPECIES;SYNONYM;80;FUZZY;Plantae;Tracheophyta;Asparagales;Amaryllidaceae;Allium;6;7707728.0;196.0;1169.0;7682.0;9624496.0;True;Liliopsida;Allium sphaerocephalon;2857616.0;
2;3152707;;Abelmoschus esculentus (L.) Moench;Abelmoschus esculentus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Abelmoschus;6;7707728.0;220.0;941.0;6685.0;3152705.0;False;Magnoliopsida;Abelmoschus esculentus;3152707.0;
3;3152706;;Abelmoschus manihot (L.) Medik.;Abelmoschus manihot;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Abelmoschus;6;7707728.0;220.0;941.0;6685.0;3152705.0;False;Magnoliopsida;Abelmoschus manihot;3152706.0;
4;8312665;;Abelmoschus moschatus (L.) Medik.;Abelmoschus moschatus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Abelmoschus;6;7707728.0;220.0;941.0;6685.0;3152705.0;False;Magnoliopsida;Abelmoschus moschatus;8312665.0;
5;2941619;8638856.0;Abarema elliptica (Blume) Kosterm.;Abarema elliptica;SPECIES;SYNONYM;88;FUZZY;Plantae;Tracheophyta;Fabales;Fabaceae;Archidendron;6;7707728.0;220.0;1370.0;5386.0;2941201.0;True;Magnoliopsida;Archidendron ellipticum;8638856.0;
6;6;;Plantae;Plantae;KINGDOM;ACCEPTED;99;HIGHERRANK;Plantae;;;;;6;;;;;;False;;;;
7;11333111;;Abroma augusta (L.) Willd.;Abroma augusta;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Abroma;6;7707728.0;220.0;941.0;6685.0;10838483.0;False;Magnoliopsida;Abroma augusta;11333111.0;
8;7716922;8219075.0;Abroma fastuosa Gaertn.;Abroma fastuosa;SPECIES;SYNONYM;99;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Abroma;6;7707728.0;220.0;941.0;6685.0;10838483.0;True;Magnoliopsida;Abroma augustum;8219075.0;2 synonym homonyms
9;5348700;;Abrus fruticulosus Wall. ex Wight & Arn.;Abrus fruticulosus;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Abrus;6;7707728.0;220.0;1370.0;5386.0;2943776.0;False;Magnoliopsida;Abrus fruticulosus;5348700.0;
