;id;species;varietas;family;penemu;referensi
0;K0300892;Aalius Latifolia;;Euphorbiaceae;;EISAI
1;K0300893;Aalius Parvifolia;;Euphorbiaceae;;EISAI
2;K0300843;Abelmoschus Esculentus;;Malvaceae;Moench;EISAI
3;K0300844;Abelmoschus Manihot;;Malvaceae;Medik;EISAI
4;K0000009;Abelmoschus Moschatus;;Malvaceae;Medik;MMI
5;K0301155;Aborema Elliptica;;Mimosaceae;;EISAI
6;K0301156;Aborema Sapandioides;;Mimosaceae;;EISAI
7;K0300801;Abroma Augusta;;Sterculiaceae;Willd;EISAI
8;K0300802;Abroma Fastuosa;;Sterculiaceae;R.Br;EISAI
9;K0301212;Abrus Fruticulosus;;Papilionaceae;Wall;EISAI
10;K0000007;Abrus Precatorius;;Papilionaceae;L;MMI
11;K0300845;Abutilon Avicennae;;Malvaceae;Gaertn;EISAI
12;K0300846;Abutilon Crispum;;Malvaceae;Sw;EISAI
13;K0300847;Abutilon Graveolens;;Malvaceae;W & A;EISAI
14;K0300848;Abutilon Indicum;;Malvaceae;L;EISAI
15;K0301157;Acacia Arabia;;Mimosaceae;Lamk;EISAI
16;K0301158;Acacia Caesis;;Mimosaceae;W.A;EISAI
17;K0301159;Acacia Catechu;;Mimosaceae;Willd;EISAI
18;K0301160;Acacia Concinna;;Mimosaceae;Dc;EISAI
19;K0301161;Acacia Confusa;;Mimosaceae;Merr;EISAI
20;K0301162;Acacia Decurrens;;Mimosaceae;Var Mollis;EISAI
21;K0301163;Acacia Farnesiana;;Mimosaceae;L;EISAI
22;K0301164;Acacia Leucophioea;;Mimosaceae;Willd;EISAI
23;K0301166;Acacia Oraria;;Mimosaceae;F.Von.Muell;EISAI
24;K0301167;Acacia Pennata;;Mimosaceae;L;EISAI
25;K0301168;Acacia Pluricapitata;;Mimosaceae;Steud;EISAI
26;K0301169;Acacia Tomentosa;;Mimosaceae;Roxb;EISAI
27;K0300894;Acalypha Boehmerioides;;Euphorbiaceae;Miq;EISAI
28;K0300895;Acalypha Caturus;;Euphorbiaceae;Bi;EISAI
29;K0300896;Acalypha Grandis;;Euphorbiaceae;Benth;EISAI
30;K0100022;Acalypha Hispida ;;Euphorbiaceae;Burm.F;dr.Setiawan Jilid 2
31;K0100029;Acalypha Indica ;;Euphorbiaceae;L;dr.Setiawan Jilid 2
32;K0300897;Acalypha Siamensis;;Euphorbiaceae;Oliv;EISAI
33;K0100021;Acanthus Ilicifolius ;;Acanthaceae;L;dr.Setiawan Jilid 2
34;K0302447;Acanthus Montanus;;Acanthaceae;T.Anders;EISAI
35;K0301785;Acer Laurinum;;Aceraceae;Hassk;EISAI
36;K0302604;Achasma Coccineum;;Zingiberaceae;Val;EISAI
37;K0302605;Achasma Foetens;;Zingiberaceae;Val;EISAI
38;K0302606;Achasma Megalocheilos;;Zingiberaceae;Griff;EISAI
39;K0000001;Achillea Millefolium;;Asteraceae;L;MMI
40;K0302412;Achimenes Grandiflora;;Gesneriaceae;Dc;EISAI
41;K0302413;Achimenes Longiflora;;Gesneriaceae;Dc;EISAI
42;K0100076;Achras Zapota ;;Sapotaceae;L;dr.Setiawan Jilid 4
43;K0300329;Achy Ranthes Bidentata;;Amaranthaceae;Bi;EISAI
44;K0000017;Achyranthes Aspera;;Amaranthaceae;Linn;MMI
45;K0000006;Acorus Calamus;Verus L;Araceae;L;MMI
46;K0303056;Acriopsis Javanica;;Orchidaceae ;Reinw;EISAI
47;K0301077;Acrocarpus Combretifolius;;Caesalpiniaceae;T & B;EISAI
48;K0302785;Acrocimia Mexicana;;Arecaceae;Karw;EISAI
49;K0301635;Acronychia Laurifolia;;Rutaceae;Bi;EISAI
50;K0301636;Acronychia Porteri;;Rutaceae;Hook.F;EISAI
