,uuid,county,phylum,class,order,family,genus,taxonRank
0,ea0ccc2d-510d-411e-820d-11f5887db5e5,indonesia,Charophyta,Equisetopsida,Malpighiales,Passifloraceae,Adenia,genus
1,7ac3a2e7-ae88-4264-a1cb-96ea9f82fd3e,indonesia,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Pycnolejeunea,Species
2,baa16635-3b7b-4cba-8a54-c3937a7c85a6,indonesia,Spermatophyta,Liliopsida,Orchidales,Orchidaceae,Cylindrolobus,species
3,f2705b0b-eb7a-4751-9ff4-6a8cf1c78333,indonesia,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Pycnolejeunea,Species
4,1c34026f-cb7d-44d8-a382-f27e2c5205ac,indonesia,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Pycnolejeunea,Species
5,479130d9-ab35-463e-b7d6-9cfdccfc0568,indonesia,Charophyta,Equisetopsida,Ericales,Symplocaceae,,species
6,e40af870-5285-4486-a3bc-36c8b48b5159,indonesia,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Homalanthus,species
7,a6265c8d-cbee-4603-acad-46756d1cf5bf,indonesia,Charophyta,Equisetopsida,Ericales,Symplocaceae,,species
8,e874c1e8-fd49-45a6-9215-841336ab05c7,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Maclura,species
9,104beed5-bbdc-4d69-b3b0-b99e3a283bf4,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Paravinia,genus
10,30c8c0bf-37de-4c0c-bea5-0f7065e53b84,indonesia,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,species
11,6aa5ff76-da63-4269-b3e5-73215a42ac0a,indonesia,Marchantiophyta,Jungermanniopsida,Jungermanniales,Schistochilaceae,Schistochila,Species
12,da571a57-aa8e-418f-abcf-2854df136ecd,indonesia,Charophyta,Equisetopsida,Polypodiales,Dennstaedtiaceae,Paesia,genus
13,5b140c09-fda0-4109-ab25-44e88dfb4db7,indonesia,Tracheophyta,Magnoliopsida,Theales,Ochnaceae,Gomphia,species
14,4511d1bc-705a-4d58-bfbe-457cacbec2ce,indonesia,Charophyta,Equisetopsida,Laurales,Lauraceae,,family
15,946606f1-4c06-450a-8f2f-61fea8de03e6,indonesia,Charophyta,Equisetopsida,Piperales,Aristolochiaceae,,family
16,ec4b7441-e6ac-4b83-bd05-5b1c06fbcfaf,indonesia,,Monocotyledonae,Poales,Poaceae,Sporobolus,variety
17,a05f06fd-89a5-44d0-864c-9cf02b5b2a6d,indonesia,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mallotus,species
18,441f799b-2f90-476f-be15-8a1ef5cbe678,indonesia,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,species
19,affb144e-0a49-44c4-8650-b74c597c4267,indonesia,Tracheophyta,Magnoliopsida,Theales,Ochnaceae,Gomphia,species
20,984c0043-003d-4acc-b2ad-6dbe9f10f343,indonesia,Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae,Riccia,Species
21,d0cd635f-e268-4921-92ea-8aa4a2347a0e,indonesia,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Glochidion,species
22,232baa8e-6ef9-44ba-a81e-0d11b5482bcc,indonesia,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,genus
23,04dc37d7-9555-46c5-85f3-ed23d936c83f,indonesia,Marchantiophyta,Jungermanniopsida,Jungermanniales,Schistochilaceae,Schistochila,Species
24,3a50d824-c833-4fe4-abfd-4fa17265c49c,indonesia,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Pycnolejeunea,Species
25,bde10020-3dd8-42ab-99df-84619f970d9b,indonesia,Tracheophyta,Magnoliopsida,Malvales,Sterculiaceae,Leptonychia,species
26,e3e1eee3-6847-47de-8021-f1ab24459193,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Paravinia,genus
27,c0648c24-c009-4021-9bce-5a4e8b61a5ab,indonesia,Spermatophyta,Liliopsida,Orchidales,Orchidaceae,Liparis,species
28,71924e78-ff38-43e3-b831-915e49d8e656,indonesia,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Hyptis,species
29,3a4b4097-c2b2-4fab-b9d3-b7debe670a9a,indonesia,Tracheophyta,Magnoliopsida,Theales,Ochnaceae,Gomphia,species
30,c4e2f454-6171-4c67-b064-14e1d368515f,indonesia,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Neolepidozia,Species
31,65e33b10-e132-4061-b64b-b184c2ecb483,indonesia,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,species
32,eb6a64a3-2cfc-4049-a3f7-95044ab68248,indonesia,Tracheophyta,Liliopsida,Cyperales,Poaceae,Setaria,species
33,c0319291-60f9-41c9-bd95-b9d18bc97a79,indonesia,Charophyta,Equisetopsida,Asparagales,Orchidaceae,,family
34,b281302b-6abc-4887-bd6e-9e75f1d0f675,indonesia,Charophyta,Equisetopsida,Fabales,Fabaceae,Cassia,species
35,1190389c-96c3-4e65-a66c-1d4909c3a520,indonesia,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Pycnolejeunea,Species
36,f7e23c36-3929-49bd-b16f-196b4e3b2466,indonesia,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Leucobryum,variety
37,9f3aecf6-8553-4538-a2c6-d66e9d276c2a,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
38,868128b2-c658-473c-86ff-99ad953d2f09,indonesia,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Micromitrium,Species
39,15d2f294-398b-4f25-95e9-3ba827f0c651,indonesia,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Lantana,Species
40,bc8dce05-6e6c-40a7-80f6-17884a672812,indonesia,,Dicotyledonae,Ericales,Epacridaceae,Styphelia,variety
41,fb772bf5-7724-4d4c-ba83-a67774d26265,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,genus
42,65088315-cdf9-4432-ace2-f30957f67369,indonesia,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Evodia,genus
43,ed3cb680-f96a-4f22-ace6-2776b387a088,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,genus
44,02c3cd01-4d92-4d2d-84df-8e7e79ad0858,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Timonius,genus
45,136a780c-3b35-4104-86f0-3dab8dad76a3,indonesia,Charophyta,Equisetopsida,Ericales,Theaceae,Polyspora,genus
46,c32864a5-56f5-4415-b955-d8291a6c0270,indonesia,Charophyta,Equisetopsida,Ericales,Theaceae,Polyspora,genus
47,e322eaec-19e9-4ca9-a53d-a7f210204e55,indonesia,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Litsea,genus
48,b06a6471-0758-4f35-9137-9b6f7f654c5e,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,genus
49,230fd0ce-496a-47cd-84f7-88f961fb6fc6,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
50,d34037aa-510e-423a-9d46-3741746c25d8,indonesia,Tracheophyta,Magnoliopsida,Malvales,Tiliaceae,Microcos,genus
51,38c3d346-ed72-4846-b34b-3a893ab4461e,indonesia,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Lindera,genus
52,707b90d4-8d73-4fba-bf4e-bfcc1d297043,indonesia,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,genus
53,c214a250-69c0-4cfe-a971-d9eec3907612,indonesia,Spermatophyta,Magnoliopsida,Myrtales,Melastomataceae,Anerincleistus,genus
54,ecc1cf5e-5ee2-4a4e-b6b0-961df79dbfe9,indonesia,Marchantiophyta,Jungermanniopsida,Jungermanniales,Schistochilaceae,Gottschea,Species
55,dc4cb996-445d-41ed-9265-0719c36cd3b3,indonesia,Spermatophyta,Liliopsida,Orchidales,Orchidaceae,Liparis,species
56,9026ef93-be72-4457-a872-0ca0674dbd31,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
57,1071aca1-602f-46eb-9dd1-228b2ec2678d,indonesia,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniaceae,Mittenia,Species
