;Plant
0;Curcuma domestica Val.
1;Piper betle L.
2;Cocos nucifera L.
3;Zingiber officinale Roscoe
4;Jatropha curcas L.
5;Imperata cylindrica (L.) Raeusch.
6;Psidium guajava L.
7;Carica papaya L.
8;Areca catechu L.
9;Orthosiphon aristatus (Bl.) Miq.
10;Annona muricata L
11;Bryophyllum pinnatum (Lam.) Oken
12;Morinda citifolia L.
13;Musa × paradisiaca L.
14;Blumea balsamifera (L.) DC
15;Kaempferia galanga L.
16;Acorus calamus L.
17;Ageratum conyzoides L.
18;Citrus aurantiifolia (Christm.) Swingle
19;Phyllanthus niruri L.
20;Alstonia scholaris (L.) R. Br
21;Justicia gendarussa Burm. F
22;Senna alata (L.) Roxb.
23;Cymbopogon nardus (L.) Rendle
24;Allium cepa L.
25;Piper nigrum L.
26;Tinospora crispa (L.) Hook. f. & Thomson
27;Hibiscus rosasinensis L.
28;Graptophyllum pictum (L.) Griff
29;Allium sativum L.
30;Curcuma xanthorrhiza Roxb.
31;Centella asiatica (L.) Urb.
32;Melastoma malabathricum L.
33;Zingiber purpureum Roscoe
34;Averrhoa bilimbi L.
35;Plectranthus scutellarioides (L.) R.Br.
36;Aleurites moluccana (L.) Willd.
37;Ficus septica Burm. f.
38;Hibiscus tiliaceus L
39;Lansium domesticum Corr.
40;Ceiba pentandra (L.) Gaertn.
41;Euphorbia hirta L.
42;Sericocalyx crispus (L.) Bremek
43;Andrographis paniculata (Burm. F) Nees
44;Cordyline fruticosa (L.) A.Chev
45;Costus speciosus (koen.) J.E. Smith
46;Oryza sativa L.
47;Physalis angulata L.
48;Urena lobata L.
49;Ocimum basilicum L.
50;Alpinia galanga (L.) Willd.
51;Moringa oleifera Lam
52;Lantana camara L.
53;Chromolaena odorata (L.) R.M.King & H.Rob.
54;Momordica charantia L.
55;Saccharum officinarum L.
56;Sesbania grandiflora (L.) Pers.
57;Eurycoma longifolia Jack
58;Sida rhombifolia L.
59;Syzygium aromaticum (L.) Merr. & L.M.Perry
60;Persea americana Mill.
61;Cymbopogon citratus (DC.) Stapf
62;Peperomia pellucida (L.) Kunth
63;Physalis minima L.
64;Tamarindus indica L.
65;Arenga pinnata (Wurmb) Merr.
66;Vitex pinnata L.
67;Leea indica (Burm. f.) Merr.
68;Sauropus androgynus (L.) Merr
69;Hyptis capitata Jacq.
70;Phaleria macrocarpa (Scheff.) Boerl.
71;Manihot esculenta Crantz
72;Mimosa pudica L.
73;Ocimum tenuiflorum L.
74;Crinum asiaticum L.
75;Syzygium polyanthum (Wight) Walp.
76;Ipomoea pescaprae (L.) R. Br.
