;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;note
0;2757628;2757624.0;Curcuma domestica Valeton;Curcuma domestica;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Curcuma;Curcuma longa;6;7707728.0;196.0;627.0;4687.0;2757518.0;2757624.0;True;Liliopsida;
1;4187904;;Piper betle L.;Piper betle;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Piperales;Piperaceae;Piper;Piper betle;6;7707728.0;220.0;404.0;6678.0;3075433.0;4187904.0;False;Magnoliopsida;
2;2735117;;Cocos nucifera L.;Cocos nucifera;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Cocos;Cocos nucifera;6;7707728.0;196.0;552.0;7681.0;2735116.0;2735117.0;False;Liliopsida;
3;2757280;;Zingiber officinale Roscoe;Zingiber officinale;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale;6;7707728.0;196.0;627.0;4687.0;2756693.0;2757280.0;False;Liliopsida;
4;3072953;;Jatropha curcas L.;Jatropha curcas;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Jatropha;Jatropha curcas;6;7707728.0;220.0;1414.0;4691.0;3072692.0;3072953.0;False;Magnoliopsida;
5;8424006;;Imperata cylindrica (L.) Raeusch.;Imperata cylindrica;SPECIES;DOUBTFUL;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Imperata;Imperata cylindrica;6;7707728.0;196.0;1369.0;3073.0;7627509.0;8424006.0;False;Liliopsida;
6;5420380;;Psidium guajava L.;Psidium guajava;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Myrtales;Myrtaceae;Psidium;Psidium guajava;6;7707728.0;220.0;690.0;5014.0;3187232.0;5420380.0;False;Magnoliopsida;
7;2874484;;Carica papaya L.;Carica papaya;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Brassicales;Caricaceae;Carica;Carica papaya;6;7707728.0;220.0;7225535.0;6636.0;2874482.0;2874484.0;False;Magnoliopsida;
8;2736531;;Areca catechu L.;Areca catechu;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Areca;Areca catechu;6;7707728.0;196.0;552.0;7681.0;2736518.0;2736531.0;False;Liliopsida;
9;7308026;;Orthosiphon aristatus (Blume) Miq.;Orthosiphon aristatus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Lamiales;Lamiaceae;Orthosiphon;Orthosiphon aristatus;6;7707728.0;220.0;408.0;2497.0;6410205.0;7308026.0;False;Magnoliopsida;
