;idigbio_coreid;key_scientificName;gbif_key;gbif_scientificName;gbif_status;gbif_rank
5;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;cordia aspera g. forst.;;;;
6;e998d643-60d6-4fb0-843f-161993357a22;celastraceae r. br.;;;;
7;7e6f664e-8156-4715-98e7-a214dbbd8d4f;grammitidaceae newman;;;;
9;5ea8b8bf-54e6-4f52-94bf-69a084a9ca26;syzygium p. browne ex gaertn.;;;;
10;3d94f19d-0fa8-4c11-902e-ec33065518ee;syzygium p. browne ex gaertn.;;;;
11;e00935cc-e00e-49ab-a4ec-50a686189a15;claoxylon a. juss.;;;;
16;b3eed40d-0b78-43f4-bd09-192f7d066178;vanda jones ex r. br.;;;;
21;a75f21b3-8db1-4f7a-b10a-ba331b191103;loganiaceae r. br. ex mart.;;;;
24;279d84f3-a55b-4ab9-b16a-21771a3f5115;orchidaceae juss.;;;;
25;271156fc-ad8c-458b-8a31-e8a939c2f0ab;lamiaceae martinov;;;;
26;f0a4db47-2f55-4328-ab35-57372418be1a;gesneriaceae rich. & juss.;;;;
32;305592d8-8ba0-497f-ad32-f25323efe95f;gardenia j. ellis;;;;
35;bdd89d25-9091-4bbc-aa89-08b9e6bf0cf5;euphorbiaceae juss.;;;;
41;2f6989c9-c3a9-452f-9199-8b7dd7fcc31d;urticaceae juss.;;;;
43;c06e5f3c-fe16-46bb-a813-2e08c42b9009;anacardiaceae r. br.;;;;
44;bcc409b0-308d-4787-90d4-d6d82072fd85;dipodium r. br.;;;;
46;4d08ef81-95b4-4d24-bc3f-af3278563612;gordonia j. ellis;;;;
48;8f88e057-9068-4fd8-88a1-0847c1cc2d27;syzygium p. browne ex gaertn.;;;;
49;4e54fc41-f4e3-4670-9d3f-5920e008f045;syzygium p. browne ex gaertn.;;;;
50;fb09c03c-9a83-4e3a-8438-c8d60f7db7a8;syzygium p. browne ex gaertn.;;;;
51;08234ac1-b65c-47f3-bb17-1ffa557e4359;cornopteris seramensis m. kato;;;;
52;bfeb031d-93e7-4caf-a1cd-3522ab388ac0;orchidaceae juss.;;;;
53;3c55416b-95ea-4906-9a75-20d5bc6d3854;orchidaceae juss.;;;;
55;b64344f6-5766-4b81-a8b4-2e5d19f3471f;syzygium p. browne ex gaertn.;;;;
56;87eec4a7-1596-4c62-86d0-1fd2aac9d0fe;alyxia banks ex r. br.;;;;
57;10ab7840-1d0f-4843-8b0a-81d4c5399327;cyrtandra sp. nov. ined. ex phillipson;;;;
58;989246ad-b309-4291-9cb4-d6ee0729ea85;gardenia j. ellis;;;;
63;6a7ecffe-7478-44cb-9045-aac975235e68;lindsaea carvifolia k.u. kramer;;;;
66;347d2b0e-5032-4ea0-a808-403f35731ec4;myrsine rawacensis a. dc.;;;;
