;Unnamed: 0.1;Unnamed: 0;coreid;idigbio:associatedsequences;idigbio:barcodeValue;dwc:basisOfRecord;dwc:bed;gbif:canonicalName;dwc:catalogNumber;dwc:class;dwc:collectionCode;dwc:collectionID;idigbio:collectionName;dwc:recordedBy;dwc:vernacularName;idigbio:commonnames;dwc:continent;dwc:coordinateUncertaintyInMeters;dwc:country;idigbio:isoCountryCode;dwc:county;dwc:datasetID;idigbio:eventDate;idigbio:dateModified;idigbio:dataQualityScore;dwc:earliestAgeOrLowestStage;dwc:earliestEonOrLowestEonothem;dwc:earliestEpochOrLowestSeries;dwc:earliestEraOrLowestErathem;dwc:earliestPeriodOrLowestSystem;idigbio:etag;dwc:eventDate;dwc:family;dwc:fieldNumber;idigbio:flags;dwc:formation;dwc:genus;dwc:geologicalContextID;idigbio:geoPoint;dwc:group;idigbio:hasImage;idigbio:hasMedia;dwc:higherClassification;dwc:highestBiostratigraphicZone;dwc:individualCount;dwc:infraspecificEpithet;dwc:institutionCode;dwc:institutionID;idigbio:institutionName;dwc:kingdom;dwc:latestAgeOrHighestStage;dwc:latestEonOrHighestEonothem;dwc:latestEpochOrHighestSeries;dwc:latestEraOrHighestErathem;dwc:latestPeriodOrHighestSystem;dwc:lithostratigraphicTerms;dwc:locality;dwc:lowestBiostratigraphicZone;dwc:maximumDepthInMeters;dwc:maximumElevationInMeters;idigbio:mediarecords;dwc:member;dwc:minimumDepthInMeters;dwc:minimumElevationInMeters;dwc:municipality;dwc:occurrenceID;dwc:order;dwc:phylum;idigbio:recordIds;dwc:recordNumber;idigbio:recordset;dwc:scientificName;dwc:specificEpithet;dwc:startDayOfYear;dwc:stateProvince;dwc:taxonID;dwc:taxonomicStatus;dwc:taxonRank;dwc:typeStatus;idigbio:uuid;dwc:verbatimEventDate;dwc:verbatimLocality;idigbio:version;dwc:waterBody
42;49;848;e6b1252a-4fed-4a1e-bb07-df3dba515ccf;;;preservedspecimen;;;101089665;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;o. beccari;;;asia;;indonesia;idn;west sumatra;;;2019-07-13T21:07:03.051928+00:00;0.2753623188405797;;;;;;86f897675d557cf00cd8546a785e88ebc3965003;;araceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;homalomena;;;;True;True;;;;;mo;;;plantae;;;;;;;;;;;"[""f3c1d4bf-f75c-445e-9e90-4af19ca3600a"", ""b55860b9-5208-4b17-8e56-9454da2b9319"", ""3d2f16ed-d248-484e-9ccb-a3a1101ef3f1""]";;;;;urn:catalog:mo:tropicos:101089665;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101089665""]";beccari s.n.;5386d272-06c6-4027-b5d5-d588c2afe5e5;homalomena schott;undesignated;;sumatra;40027131.0;;;;e6b1252a-4fed-4a1e-bb07-df3dba515ccf;;;;
57;64;1187;27046900-f78d-4001-b298-4c9bd79243a9;;;preservedspecimen;;;1577704;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;porter p. lowry ii|et al.;;;asia;;indonesia;idn;;;2000-11-19;2021-02-09T22:16:17.693885+00:00;0.3333333333333333;;;;;;6e4c37aad6159f13035f7be9a2b97b814112e572;;nyctaginaceae;281;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;pisonia;;"{""lat"": -4.39833, ""lon"": 136.86694}";;False;False;;;14.0;;mo;;;plantae;;;;;;;central irian jaya province. freeport mining concession. kuala kencana. edge of intact humid forest between freeport office buildings and church.  collected with r. johns, t. utteridge, m. coode, s. aikens, e. lucas, b. adjie, t. daradjat & e. wally.;;;;;;;40.0;;urn:catalog:mo:tropicos:1577704;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:1577704""]";lowry 5241;5386d272-06c6-4027-b5d5-d588c2afe5e5;pisonia l.;undesignated;324.0;irian jaya;40009615.0;;;;27046900-f78d-4001-b298-4c9bd79243a9;;;;
70;81;1572;ce042ae9-9fb0-41b4-8bd7-e2aa22958e80;;;preservedspecimen;;;100655527;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|samsul lasut;;;asia;;indonesia;idn;north maluku;;2013-11-08;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;96782e62bbe8889c8f467cde1c996b554bb9e172;;malvaceae;2013.101;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;microcos;;"{""lat"": 0.6548611, ""lon"": 127.8935}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. north jira. weda bay.;;;;;;;60.0;;urn:catalog:mo:tropicos:100655527;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100655527""]";mahroji 372;5386d272-06c6-4027-b5d5-d588c2afe5e5;microcos l.;undesignated;312.0;maluku islands;40018869.0;;;;ce042ae9-9fb0-41b4-8bd7-e2aa22958e80;;;;
76;87;1850;d2bf54f9-86a5-4d27-98a3-bb6a7333476e;;;preservedspecimen;;;965990;angiospermae;plants;f292c83d-305c-4b22-97cc-cd9c72e2931e;;"t. g. laman; g. weiblen";;;asia;;indonesia;idn;kalimantan barat;;1997-10-25T00:00:00+00:00;2021-12-17T13:38:43.356435+00:00;0.3623188405797101;;;;;;1a8ed39731918518802648a124dfa9673f8e743c;1997-10-25;moraceae;;"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""idigbio_isocountrycode_added"", ""dwc_kingdom_suspect"", ""dwc_continent_added"", ""taxon_match_failed""]";;ficus;;"{""lat"": -1.216667, ""lon"": 110.1}";;True;True;;;;;min;;;plantae;;;;;;;gunung palung national park, cabang panti research site, trail rb6.49n2 t35351;;;;"[""745294de-1439-45da-ad6b-b6c84edc146b""]";;;20.0;ketapang;ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10;;spermatophyta;"[""e2def7e2-1455-4856-9823-6d3738417d24\\2999515"", ""urn:uuid:ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10"", ""e2def7e2-1455-4856-9823-6d3738417d24\\ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10""]";tl 1420;e2def7e2-1455-4856-9823-6d3738417d24;ficus palungensis;palungensis;298.0;borneo;655388.0;;;isotype;d2bf54f9-86a5-4d27-98a3-bb6a7333476e;;;;
128;145;3783;1e89d0ea-64a8-4520-91e6-94d43b0956db;;;preservedspecimen;;;100655537;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|idris haris|darius loha;;;asia;;indonesia;idn;north maluku;;2013-11-15;2016-06-05T22:27:21.759179+00:00;0.3478260869565217;;;;;;68bb01c81423ff9e1d0f16863b4a1a4d1facf738;;metteniusaceae;2013.104;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;platea;;"{""lat"": 0.6870833, ""lon"": 127.9845}";;False;False;;;1.0;;mo;;;plantae;;;;;;;east halmahera. kao rahai. camp 3. weda bay.;;;;;;;467.0;;urn:catalog:mo:tropicos:100655537;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100655537""]";mahroji 382;5386d272-06c6-4027-b5d5-d588c2afe5e5;platea excelsa blume;excelsa;319.0;maluku islands;50053493.0;;;;1e89d0ea-64a8-4520-91e6-94d43b0956db;;;;
148;169;4648;d127a392-bb30-4786-bd93-29487d424439;;;preservedspecimen;;;100888862;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;ismail a. rachman|tjut bangun|bilal sau;;;asia;;indonesia;idn;north maluku;;2015-09-12;2021-08-21T02:12:04.934460+00:00;0.3478260869565217;;;;;;d2f0c3de3dcae63a86041848f7f7cf2fe25ca4ff;;fabaceae;2015.7;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;bauhinia;;"{""lat"": 0.4791445, ""lon"": 127.9383916}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. orr.;;;;;;;60.0;;urn:catalog:mo:tropicos:100888862;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100888862""]";rachman 1046;5386d272-06c6-4027-b5d5-d588c2afe5e5;bauhinia lingua dc.;lingua;255.0;maluku islands;13027329.0;;;;d127a392-bb30-4786-bd93-29487d424439;;;;
168;191;4828;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;;;preservedspecimen;;;100347894;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;willmar schwabe;;;asia;;indonesia;idn;;;1966-11-19;2020-07-24T21:35:50.192791+00:00;0.2898550724637681;;;;;;0d099f116005968340908a1d6346e7ab23c36c86;;cordiaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;cordia;;"{""lat"": -8.3666667, ""lon"": 115.1333333}";;False;False;;;2.0;;mo;;;plantae;;;;;;;bali (wongajagedet);;;;;;;;;urn:catalog:mo:tropicos:100347894;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100347894""]";schwabe s.n.;5386d272-06c6-4027-b5d5-d588c2afe5e5;cordia aspera g. forst.;aspera;323.0;;50308745.0;;;;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;;;;
204;238;5578;e998d643-60d6-4fb0-843f-161993357a22;;;preservedspecimen;;;100594254;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;ehoarn bidault|tariq stévart|roji mahroji|tjut bangun|idris haris;;;asia;;indonesia;idn;north maluku;;2013-04-30;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;1eb6a21441337a6fd88a52d82314036631b21ab4;;undesignated;2013.024;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.554167, ""lon"": 127.986667}";;True;True;;;5.0;;mo;;;plantae;;;;;;;central halmahera, weda bay, bukit limber.;;;;"[""0265f0e9-f5c1-4483-ba04-40172197377a"", ""3ae6e7e2-7178-447c-9d79-7030254713fd""]";;;1031.0;;urn:catalog:mo:tropicos:100594254;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100594254""]";bidault 1188;5386d272-06c6-4027-b5d5-d588c2afe5e5;celastraceae r. br.;undesignated;120.0;maluku islands;42000222.0;;;;e998d643-60d6-4fb0-843f-161993357a22;;;;
205;239;5600;7e6f664e-8156-4715-98e7-a214dbbd8d4f;;;preservedspecimen;;;100593208;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;arief hidayat|ehoarn bidault|tariq stévart|tjut bangun|roji mahroji|idris haris;;;asia;;indonesia;idn;north maluku;;2013-04-26;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;ad31484d1bf842f2c9efcf33d9ad7cb74eeef946;;undesignated;2013.15;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.6672223, ""lon"": 127.9741667}";;False;False;;;5.0;;mo;;;plantae;;;;;;;east halmahera. weda bay. kao rahai.;;;;;;;427.0;;urn:catalog:mo:tropicos:100593208;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100593208""]";hidayat 5072;5386d272-06c6-4027-b5d5-d588c2afe5e5;grammitidaceae newman;undesignated;116.0;maluku islands;42000398.0;;;;7e6f664e-8156-4715-98e7-a214dbbd8d4f;;;;
212;248;5987;b89d5c1b-5439-4aba-96ca-f54db96e1227;;;preservedspecimen;;;100534816;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;mary merello|tjut bangun|bahar fabanyo|roji mahroji|darius loha;;;asia;;indonesia;idn;north maluku;;2012-10-20;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;0402a420f613e253f597368855d6cb6c02fec85e;;clusiaceae;377;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;garcinia;;"{""lat"": 0.4788611, ""lon"": 127.9986666}";;True;True;;;6.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. ake sake.;;;;"[""8de3c041-5054-4509-bbb3-832bdbf364ee"", ""6e9ec16d-5eff-4f2b-bce1-2e955a4a1420"", ""a60cfcdf-ccd5-4787-b4f8-20b99205dbe1"", ""e1b39fdb-de59-47a5-af64-848cdc73ea54"", ""1a0d373f-9be7-4c65-844d-bf986f8b392f"", ""115d0170-a638-4abc-8dca-a24b7ad9253b"", ""91716afa-6cd0-41ea-b6dc-b4cb3a5f4af3"", ""caee2b78-91fa-4f08-863f-1a4628c19b7f"", ""9d65a45f-65d6-4488-8eb1-20922a521ff1""]";;;21.0;;urn:catalog:mo:tropicos:100534816;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100534816""]";merello 3325;5386d272-06c6-4027-b5d5-d588c2afe5e5;garcinia latissima miq.;latissima;294.0;maluku islands;100340407.0;;;;b89d5c1b-5439-4aba-96ca-f54db96e1227;;;;
