,gbifKey
0,2390
1,2643107
2,2644745
3,2652923
4,2654155
5,2654561
6,2662958
7,2663185
8,2670307
9,2672405
10,2676108
11,2680603
12,2688421
13,2693391
14,2702444
15,2720545
16,2725150
17,2734793
18,2739403
19,2757095
20,2762679
21,2762924
22,2770809
23,2796753
24,2811327
25,2813826
26,2817535
27,2818200
28,2818324
29,2845055
30,2862955
31,2874554
32,2874569
33,2900108
34,2925349
35,2942090
36,2951503
37,2953942
38,2955827
39,2960301
40,2984476
41,2985677
42,3036209
43,3058354
44,3063535
45,3075846
46,3081551
47,3090776
48,3129124
49,3156579
50,3158386
51,3169747
52,3183082
53,3187799
54,3190638
55,3229104
56,3233603
57,3579345
58,3605572
59,3648331
60,3648944
61,3702214
62,3710030
63,3723797
64,3752124
65,3770334
66,3785262
67,3818521
68,3830879
69,3833739
70,3845492
71,3866794
72,3874090
73,3890170
74,3932659
75,3978086
76,4002821
77,4011267
78,4017795
79,4024943
80,4031294
81,4031761
82,4047989
83,4069768
84,4069959
85,4077628
86,4105470
87,4135589
88,4157846
89,4168084
90,4173292
91,4176468
92,4178507
93,4182444
94,4182455
95,4183120
96,4188366
97,4256528
98,4259625
99,5283595
100,5293938
101,5294053
102,5294191
103,5307008
104,5307089
105,5313053
106,5315543
107,5323497
108,5334105
109,5338683
110,5350964
111,5377985
112,5383420
113,5408844
114,5535759
115,5557340
116,5569844
117,5571306
118,5571852
119,5589653
120,5601224
121,5601302
122,5643641
123,5669107
124,5680665
125,5681065
126,5831886
127,5939369
128,6070283
129,6288571
130,6310959
131,6313833
132,6426452
133,7219222
134,7221908
135,7237503
136,7286396
137,7291052
138,7314360
139,7319901
140,7329102
141,7330390
142,7360607
143,7391041
144,7449938
145,7476695
146,7481632
147,7514074
148,7531191
149,7546026
150,7579044
151,7586341
152,7610735
153,7719423
154,7788491
155,7845022
156,7948329
157,7992567
158,8017549
159,8024797
160,8070718
161,8073231
162,8129014
163,8145266
164,8212385
165,8298935
166,8313105
167,8351176
168,8395542
169,8544094
170,8961671
171,9122884
172,9492611
173,10710478
174,10732130
175,8144
176,2643307
177,2647497
178,2670505
179,2678213
180,2680348
181,2680604
182,2687844
183,2690971
184,2705832
185,2732232
186,2736600
187,2757871
188,2762343
189,2797749
190,2813752
191,2815344
192,2818226
193,2829743
194,2838601
195,2843584
196,2863212
197,2874717
198,2880766
199,2906074
200,2917330
201,2924987
202,2942244
203,2950539
204,2953091
205,2953578
206,2968057
207,2972323
208,3022382
209,3034082
210,3035042
211,3037224
212,3038081
213,3055345
214,3062562
215,3080160
216,3152263
217,3182066
218,3190076
219,3573874
220,3576608
221,3591474
222,3607632
223,3643255
224,3661430
225,3679910
226,3682067
227,3684678
228,3752189
229,3781761
230,3790384
231,3838835
232,3858206
233,3858641
234,3861710
235,3869515
236,3896850
237,3899265
238,4015591
239,4029559
240,4029927
241,4052039
242,4096726
243,4096814
244,4125559
245,4138396
246,4179943
247,4181904
248,4182924
249,4183087
250,4258035
251,4940354
252,5273010
253,5294381
254,5315998
255,5323245
256,5323478
257,5325051
258,5327401
