;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
0;1;Abelmoschus esculentus;(L.) MOENCH;Abelmoschus;esculentus;;;;;(L.) MOENCH;;;;;Malvaceae;;;619.0;619.0;;F;DUKE;10-DEC-97;15-JUL-05
1;2;Abelmoschus manihot;(L.) MEDIK.;Abelmoschus;manihot;;;;;(L.) MEDIK.;;;;;Malvaceae;;;621.0;621.0;;F;DUKE;10-DEC-97;15-JUL-05
2;3;Abelmoschus moschatus;MEDIK.;Abelmoschus;moschatus;;;;;MEDIK.;;;;;Malvaceae;;375035002.0;623.0;623.0;;G;DUKE;10-DEC-97;15-JUL-05
4;5;Abies balsamea;(L.) MILLER;Abies;balsamea;;;;;(L.) MILLER;;;;;Pinaceae;;11010003.0;635.0;635.0;;M;DUKE;10-DEC-97;15-JUL-05
6;7;Abrus precatorius;L.;Abrus;precatorius;;;;;L.;;;;;Fabaceae;Synonyms: Glycine abrus L.;;739.0;739.0;;M;DUKE;10-DEC-97;15-JUL-05
7;8;Acacia catechu;(L. f.) WILLD.;Acacia;catechu;;;;;(L. f.) WILLD.;;;;;Fabaceae;;283012058.0;803.0;803.0;;M;DUKE;10-DEC-97;15-JUL-05
8;9;Acacia decurrens;(WENDL.) WILLD.;Acacia;decurrens;;;;;(WENDL.) WILLD.;;;;;Fabaceae;;283012027.0;822.0;822.0;;G;DUKE;10-DEC-97;15-JUL-05
9;10;Acacia farnesiana;(L.) WILLD.;Acacia;farnesiana;;;;;(L.) WILLD.;;;;;Fabaceae;;;844.0;844.0;;G;DUKE;10-DEC-97;15-JUL-05
11;11;Acacia leucophloea;(ROXB.) WILLD.;Acacia;leucophloea;;;;;(ROXB.) WILLD.;;;;;Fabaceae;;283012061.0;906.0;906.0;;G;DUKE;10-DEC-97;15-JUL-05
12;12;Acacia melanoxylon;R. BR.;Acacia;melanoxylon;;;;;R. BR.;;;;;Fabaceae;;283012010.0;926.0;926.0;;G;DUKE;10-DEC-97;15-JUL-05
13;1440;Acacia modesta;;Acacia;modesta;;;;;;;;;;Fabaceae;;;932.0;932.0;;M;DUKE;10-DEC-97;15-JUL-05
14;13;Acacia nilotica;(L.) WILLD. ex DELILE;Acacia;nilotica;;;;;(L.) WILLD. ex DELILE;;;;;Fabaceae;;283012003.0;312499.0;312499.0;;G;DUKE;10-DEC-97;15-JUL-05
17;16;Acalypha indica;L.;Acalypha;indica;;;;;L.;;;;;Euphorbiaceae;;328122004.0;400002.0;400002.0;;G;DUKE;10-DEC-97;15-JUL-05
19;1288;Acanthospermum hispidum;DC;Acanthospermum;hispidum;;;;;DC;;;;;Asteraceae;;;1077.0;1077.0;;;DUKE;10-DEC-97;15-JUL-05
20;1443;Acanthus ilicifolius;;Acanthus;ilicifolius;;;;;;;;;;Acanthaceae;;;1079.0;1079.0;;M;DUKE;10-DEC-97;15-JUL-05
21;18;Achillea millefolium;L.;Achillea;millefolium;;;;;L.;;;;;Asteraceae;Syns:ssp borealis, lanulosa,occid.,A.borealis,lanulosa,magna;580603001.0;1270.0;1270.0;;G;DUKE;10-DEC-97;15-JUL-05
23;20;Achyranthes aspera;BLUME;Achyranthes;aspera;;;;;BLUME;;;;;Amaranthaceae;;;401486.0;401486.0;;G;DUKE;10-DEC-97;15-JUL-05
24;21;Achyranthes bidentata;BLUME;Achyranthes;bidentata;;;;;BLUME;;;;;Amaranthaceae;;153040005.0;1314.0;1314.0;;G;DUKE;10-DEC-97;15-JUL-05
32;25;Acorus calamus;L.;Acorus;calamus;;;;;L.;;;;;Acoraceae;;44011001.0;1358.0;1358.0;;M;DUKE;10-DEC-97;15-JUL-05
39;29;Actinidia chinensis;PLANCHON;Actinidia;chinensis;;;;;PLANCHON;;;;;Actinidiaceae;;382010001.0;1405.0;1405.0;;F;DUKE;10-DEC-97;15-JUL-05
41;1692;Adansonia digitata;;Adansonia;digitata;;;;;;;;;;Bombacaceae;;;1433.0;1433.0;;M;DUKE;10-DEC-97;15-JUL-05
45;31;Adiantum capillus-veneris;L.;Adiantum;capillus-veneris;;;;;L.;;;;;Pteridaceae;;4004.0;401925.0;401925.0;;M;DUKE;10-DEC-97;15-JUL-05
46;32;Adiantum pedatum;L.;Adiantum;pedatum;;;;;L.;;;;;Pteridaceae;;;401921.0;401921.0;;M;DUKE;10-DEC-97;15-JUL-05
48;1212;Aegle marmelos;CORREA;Aegle;marmelos;;;;;CORREA;;;;;Rutaceae;;;1560.0;1560.0;;F;DUKE;10-DEC-97;15-JUL-05
50;1444;Aerva lanata;;Aerva;lanata;;;;;;;;;;Amaranthaceae;;;101478.0;101478.0;;M;DUKE;10-DEC-97;15-JUL-05
51;34;Aesculus hippocastanum;L.;Aesculus;hippocastanum;;;;;L.;;;;;Hippocastanaceae;Synonyms: Aesculus hippocastanum f. memmingeri (K. Koch) Sch;;1628.0;1628.0;;M;DUKE;10-DEC-97;15-JUL-05
58;37;Agathosma betulina;(P. J. BERGIUS) PILLANS;Agathosma;betulina;;;;;(P. J. BERGIUS) PILLANS;;;;;Rutaceae;Barosma betulina is a synonym;302052001.0;70058.0;70058.0;;M;DUKE;10-DEC-97;15-JUL-05
59;38;Agave americana;L.;Agave;americana;;;;;L.;;;;;Agavaceae;;80054004.0;1690.0;1690.0;;G;DUKE;10-DEC-97;15-JUL-05
60;39;Agave sisalana;PERRINE;Agave;sisalana;;;;;PERRINE;;;;;Agavaceae;;80054003.0;1735.0;1735.0;;G;DUKE;10-DEC-97;15-JUL-05
61;1289;Ageratum conyzoides;L.;Ageratum;conyzoides;;;;;L.;;;;;Asteraceae;;;103793.0;103793.0;;;DUKE;10-DEC-97;15-JUL-05
62;1290;Aglaonema commutatum;SCHOTT.;Aglaonema;commutatum;;;;;SCHOTT.;;;;;Araceae;;;312530.0;312530.0;;;DUKE;10-DEC-97;15-JUL-05
63;40;Agrimonia eupatoria;L.;Agrimonia;eupatoria;;;;;L.;;;;;Rosaceae;;;1786.0;1786.0;;M;DUKE;10-DEC-97;15-JUL-05
67;1694;Ailanthus grandis;;Ailanthus;grandis;;;;;;;;;;Simaroubaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
68;1979;Ajuga bracteosa;WALL.;Ajuga;bracteosa;;;;;WALL.;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
71;1984;Ajuga remota;;Ajuga;remota;;;;;;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
75;1160;Alangium lamarckii;LAM.;Alangium;lamarckii;;;;;LAM.;;;;;Alangiaceae;;;417465.0;417465.0;;M;DUKE;10-DEC-97;15-JUL-05
